epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
1,5.38554464,0.407609,0.517777,0.517777,0.1000000000,7.938883
2,5.30651739,0.305707,0.345185,0.517777,0.0999972585,7.305725
3,5.30126988,0.407609,0.552295,0.552295,0.0999890342,7.392336
4,5.30042563,0.237772,0.258889,0.552295,0.0999753280,7.315955
5,5.29961268,0.373641,0.931999,0.931999,0.0999561415,7.670465
6,5.29688460,0.441576,0.604073,0.931999,0.0999314767,7.457642
7,5.28669547,0.645380,0.707629,0.931999,0.0999013364,7.043676
8,5.28471485,0.373641,0.983776,0.983776,0.0998657239,7.346813
9,5.28172319,0.628397,0.897480,0.983776,0.0998246430,7.703980
10,5.27374586,0.730299,0.897480,0.983776,0.0997780982,7.366313
11,5.26022971,0.730299,1.018295,1.018295,0.0997260948,7.662208
12,5.23895908,1.069973,1.277183,1.277183,0.0996686383,7.259054
13,5.21407927,0.730299,0.811184,1.277183,0.0996057351,6.970977
14,5.19691861,0.815217,1.328961,1.328961,0.0995373920,6.908359
15,5.17286609,1.154891,1.501553,1.501553,0.0994636166,7.410433
16,5.18733805,1.052989,1.467035,1.501553,0.0993844170,6.975098
17,5.14653307,1.036005,1.501553,1.501553,0.0992998019,7.276294
18,5.12534496,1.307745,1.518813,1.518813,0.0992097804,7.309375
19,5.10936662,1.273777,1.259924,1.518813,0.0991143625,6.909034
20,5.09356422,1.511549,1.984812,1.984812,0.0990135587,7.039551
21,5.08342912,1.409647,2.312737,2.312737,0.0989073800,6.820873
22,5.06814433,1.664402,2.571626,2.571626,0.0987958381,6.758608
23,5.03902302,1.783288,2.381774,2.571626,0.0986789451,6.805627
24,5.02069964,1.630435,1.967553,2.571626,0.0985567140,6.842208
25,5.01929213,1.868207,2.830514,2.830514,0.0984291581,6.813481
26,4.99663446,2.122962,2.588885,2.830514,0.0982962913,6.761201
27,4.98283513,1.987092,2.968588,2.968588,0.0981581283,6.816508
28,4.97687203,2.275815,3.089403,3.089403,0.0980146843,6.681059
29,4.94455294,1.987092,3.520884,3.520884,0.0978659749,7.207798
30,4.93067328,2.598505,3.434588,3.520884,0.0977120164,6.824961
31,4.90796454,2.275815,3.261995,3.520884,0.0975528258,6.942336
32,4.89005102,2.768342,3.589921,3.589921,0.0973884205,7.602016
33,4.86070308,2.819293,4.487401,4.487401,0.0972188185,7.605918
34,4.85744594,3.006114,4.124957,4.487401,0.0970440384,7.039716
35,4.83355631,3.243886,4.435623,4.487401,0.0968640995,6.786234
36,4.81337415,2.870245,4.418364,4.487401,0.0966790213,6.865053
37,4.81403261,3.804348,5.056955,5.056955,0.0964888243,6.894426
38,4.76454166,3.583560,4.107698,5.056955,0.0962935292,6.801250
39,4.76538456,3.991168,4.625475,5.056955,0.0960931576,6.750704
40,4.73346269,3.464674,5.074215,5.074215,0.0958877313,7.176996
41,4.70371363,3.838315,5.022437,5.074215,0.0956772729,6.777946
42,4.72583910,4.415761,6.057991,6.057991,0.0954618055,6.800037
43,4.68253705,4.670516,6.040732,6.057991,0.0952413526,6.875108
44,4.68911633,4.279891,4.608215,6.057991,0.0950159386,7.030879
45,4.67682579,4.381793,5.885399,6.057991,0.0947855880,7.041198
46,4.63927995,5.298913,5.781843,6.057991,0.0945503262,7.067246
47,4.61265217,4.602582,5.937176,6.057991,0.0943101790,6.978429
48,4.60120794,5.213995,6.144287,6.144287,0.0940651726,6.928571
49,4.57593263,4.993207,6.196065,6.196065,0.0938153340,7.007840
50,4.57181576,5.927310,6.886434,6.886434,0.0935606906,6.869822
51,4.59523860,5.213995,6.731101,6.886434,0.0933012702,6.763106
52,4.56010396,5.247962,7.179841,7.179841,0.0930371014,6.745498
53,4.53090619,5.723505,7.801174,7.801174,0.0927682130,6.846544
54,4.48235814,6.589674,6.351398,7.801174,0.0924946346,6.810972
55,4.48905173,6.148098,7.818433,7.818433,0.0922163963,6.801835
56,4.44961098,7.133152,7.490507,7.818433,0.0919335284,6.886679
57,4.45515797,6.589674,8.923024,8.923024,0.0916460620,6.846259
58,4.44115325,7.014266,7.973766,8.923024,0.0913540287,7.003371
59,4.41152062,7.218071,7.611322,8.923024,0.0910574605,6.878390
60,4.42185469,7.252038,8.249914,8.923024,0.0907563898,6.755778
