epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
1,5.72223346,0.487231,1.035554,1.035554,0.0100000000,14.397182
2,5.29622406,1.260081,1.501553,1.501553,0.0099993832,13.725670
3,5.10274452,1.730511,1.501553,1.501553,0.0099975328,13.575522
4,4.98321440,1.932124,2.019330,2.019330,0.0099944494,14.026868
5,4.87041239,2.872984,2.623404,2.623404,0.0099901336,12.840113
6,4.74842404,3.679435,4.159475,4.159475,0.0099845867,12.634226
7,4.63458661,4.519489,4.625475,4.625475,0.0099778098,13.176976
8,4.52347408,5.393145,5.833621,5.833621,0.0099698048,11.739837
9,4.42504643,6.586022,6.696583,6.696583,0.0099605735,13.212207
10,4.35617767,6.451613,6.886434,6.886434,0.0099501183,11.751146
11,4.28779143,7.073253,8.439765,8.439765,0.0099384417,13.555068
12,4.19696500,8.417339,8.974802,8.974802,0.0099255466,13.561387
13,4.15008349,9.190188,9.112875,9.112875,0.0099114363,13.897326
14,4.06746505,9.862231,9.975837,9.975837,0.0098961141,13.769889
15,4.00510862,10.551075,12.271315,12.271315,0.0098795838,13.216909
16,3.90754033,11.811156,12.668278,12.668278,0.0098618496,13.456964
17,3.84039153,12.987231,12.927166,12.927166,0.0098429158,14.019228
18,3.78063523,14.600134,13.393165,13.393165,0.0098227871,13.205750
19,3.70409423,15.288978,14.497756,14.497756,0.0098014684,12.085235
20,3.66879740,16.129032,15.119089,15.119089,0.0097789651,12.077196
21,3.56635264,17.053091,16.413531,16.413531,0.0097552826,13.481365
22,3.50124361,18.464382,16.413531,16.413531,0.0097304268,13.700092
23,3.43924151,19.506048,14.860200,16.413531,0.0097044038,13.414532
24,3.35849931,21.118952,18.053158,18.053158,0.0096772202,11.561996
25,3.33025890,21.001344,20.849154,20.849154,0.0096488824,13.380358
26,3.29714797,22.563844,19.727304,20.849154,0.0096193977,12.647059
27,3.21458372,23.387097,23.403521,23.403521,0.0095887731,13.457325
