epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
1,5.38075300,0.424592,0.604073,0.604073,0.1000000000,8.412510
2,5.30427752,0.169837,0.414222,0.604073,0.0999972585,7.412363
3,5.29592860,0.322690,0.552295,0.604073,0.0999890342,6.680367
4,5.28915554,0.441576,0.293407,0.604073,0.0999753280,6.907476
5,5.28985716,0.560462,0.655851,0.655851,0.0999561415,6.851604
6,5.28599353,0.594429,0.862962,0.862962,0.0999314767,6.856365
7,5.28177713,0.475543,0.931999,0.931999,0.0999013364,6.071739
8,5.27739984,0.696332,0.552295,0.931999,0.0998657239,6.119564
9,5.27054975,0.628397,0.966517,0.966517,0.0998246430,7.137188
10,5.25668706,0.645380,1.035554,1.035554,0.0997780982,7.397784
11,5.23709910,0.917120,0.983776,1.035554,0.0997260948,7.700385
12,5.19695683,0.832201,1.104591,1.104591,0.0996686383,7.153442
13,5.17594765,0.798234,0.897480,1.104591,0.0996057351,7.522331
14,5.15077423,0.849185,1.070072,1.104591,0.0995373920,7.574478
15,5.13396904,1.171875,1.587849,1.587849,0.0994636166,7.553818
16,5.13705324,0.900136,1.380739,1.587849,0.0993844170,7.696812
17,5.11942470,1.256793,1.605109,1.605109,0.0992998019,7.504837
18,5.08843656,1.477582,1.536072,1.605109,0.0992097804,7.535579
19,5.07873613,1.392663,2.036590,2.036590,0.0991143625,7.770154
20,5.05274862,1.409647,2.105627,2.105627,0.0990135587,8.196296
21,5.02991594,1.647418,2.830514,2.830514,0.0989073800,7.388072
22,5.02037584,1.443614,2.174663,2.830514,0.0987958381,8.034875
23,5.00200079,2.004076,2.502589,2.830514,0.0986789451,7.705913
24,4.97956067,1.885190,2.761477,2.830514,0.0985567140,7.520300
25,4.94737029,2.445652,3.192958,3.192958,0.0984291581,7.460539
26,4.91418029,2.632473,3.607180,3.607180,0.0982962913,7.155000
27,4.92003511,2.496603,3.365551,3.607180,0.0981581283,8.130710
28,4.90776516,3.091033,4.021401,4.021401,0.0980146843,8.189899
29,4.87975600,2.411685,4.055920,4.055920,0.0978659749,7.527252
30,4.86302482,2.751359,3.417328,4.055920,0.0977120164,7.978255
31,4.82474125,2.989130,4.539178,4.539178,0.0975528258,8.330549
32,4.82379898,3.260870,3.641698,4.539178,0.0973884205,7.242791
33,4.79101678,3.091033,4.590956,4.590956,0.0972188185,7.486796
34,4.77032659,3.515625,5.402140,5.402140,0.0970440384,6.840926
35,4.74847830,3.770380,5.005178,5.402140,0.0968640995,6.885160
36,4.74522216,3.515625,4.711771,5.402140,0.0966790213,6.889454
37,4.75224584,4.025136,5.350362,5.402140,0.0964888243,6.800645
38,4.70002791,4.517663,5.143252,5.402140,0.0962935292,7.613509
39,4.69460550,4.042120,5.937176,5.937176,0.0960931576,7.523431
40,4.67059008,4.296875,5.540214,5.937176,0.0958877313,7.405547
41,4.65351343,4.602582,5.143252,5.937176,0.0956772729,6.763224
42,4.65480024,4.585598,6.644805,6.644805,0.0954618055,6.936232
43,4.61565207,5.061141,6.057991,6.644805,0.0952413526,6.612068
44,4.62347878,4.755435,6.834657,6.834657,0.0950159386,5.948422
45,4.61064641,5.146060,5.384881,6.834657,0.0947855880,6.831235
46,4.57941941,5.502717,5.954436,6.834657,0.0945503262,6.716915
47,4.55339571,5.230978,5.626510,6.834657,0.0943101790,5.922765
48,4.57135726,5.213995,6.403176,6.834657,0.0940651726,5.955618
49,4.54150443,5.791440,6.472213,6.834657,0.0938153340,6.055535
50,4.50525134,6.199049,7.300656,7.300656,0.0935606906,7.072869
51,4.54105160,5.961277,7.801174,7.801174,0.0933012702,6.819062
52,4.50294051,6.131114,8.111840,8.111840,0.0930371014,6.585724
53,4.48082116,6.131114,7.783914,8.111840,0.0927682130,6.634070
54,4.45230157,7.574728,9.164653,9.164653,0.0924946346,6.959733
55,4.46460229,7.319973,7.973766,9.164653,0.0922163963,7.063814
56,4.39150948,7.574728,9.406282,9.406282,0.0919335284,6.832584
57,4.42696097,7.150136,8.318951,9.406282,0.0916460620,6.850742
58,4.41696293,7.082201,8.629617,9.406282,0.0913540287,6.825460
59,4.37898200,7.795516,10.148429,10.148429,0.0910574605,6.831259
60,4.38578191,7.693614,8.060062,10.148429,0.0907563898,6.740914
61,4.35513292,8.203125,8.940283,10.148429,0.0904508497,6.853442
62,4.33287866,8.576766,10.148429,10.148429,0.0901408738,6.869396
63,4.35267328,8.338995,10.096652,10.148429,0.0898264959,6.991254
64,4.30706924,9.001359,10.062133,10.148429,0.0895077506,6.906756
65,4.28917070,9.069293,11.460131,11.460131,0.0891846729,6.897492
66,4.27913075,9.035326,10.769762,11.460131,0.0888572981,8.032661
67,4.28831040,9.391984,10.010356,11.460131,0.0885256621,7.781317
68,4.23633278,9.663723,11.460131,11.460131,0.0881898014,7.928733
69,4.26449426,8.627717,10.269244,11.460131,0.0878497528,7.069428
70,4.22889865,9.273098,11.874353,11.874353,0.0875055535,6.875486
71,4.22405936,10.546875,10.942354,11.874353,0.0871572413,6.796557
72,4.20686195,9.629755,12.720055,12.720055,0.0868048544,6.879585
73,4.19957162,9.867527,10.648947,12.720055,0.0864484314,6.778537
74,4.16557939,10.648777,11.667242,12.720055,0.0860880114,7.378575
75,4.17014317,10.292120,12.357611,12.720055,0.0857236340,6.641600
76,4.11492130,11.328125,12.858129,12.858129,0.0853553391,6.797643
77,4.18382559,10.037364,11.977908,12.858129,0.0849831670,6.023298
78,4.11560937,11.616848,10.579910,12.858129,0.0846071587,5.989834
79,4.12937763,10.835598,11.719020,12.858129,0.0842273553,7.641094
80,4.11468647,11.616848,11.995167,12.858129,0.0838437985,7.316416
81,4.10051963,12.041440,14.118053,14.118053,0.0834565303,6.880323
82,4.06775313,12.805707,12.961685,14.118053,0.0830655933,6.887952
83,4.06138822,12.669837,12.754574,14.118053,0.0826710302,7.235192
84,4.05290023,11.854620,12.323093,14.118053,0.0822728844,7.991833
85,4.05679555,12.635870,13.824646,14.118053,0.0818711995,7.176506
86,4.01519720,13.026495,12.581981,14.118053,0.0814660196,6.889277
87,3.99922826,13.468071,13.686572,14.118053,0.0810573890,8.027467
88,4.03487981,12.262228,14.998274,14.998274,0.0806453527,8.089821
89,3.99451144,13.485054,14.842941,14.998274,0.0802299557,8.095225
90,4.00659777,13.281250,13.893683,14.998274,0.0798112437,8.069738
91,3.98100586,13.807745,14.307905,14.998274,0.0793892626,7.025809
92,3.92958889,14.402174,13.807387,14.998274,0.0789640586,7.155910
